CVEID,CWEID,VulnerabilityType,AttackPattern,Report
CVE-1999-0062,['NVD-CWE-Other'],[''],[],The chpass command in OpenBSD allows a local user to gain root access through file descriptor leakage.
CVE-1999-0063,['NVD-CWE-Other'],[''],[],Cisco IOS 12.0 and other versions can be crashed by malicious UDP packets to the syslog port.
CVE-1999-0064,['NVD-CWE-Other'],[''],[],Buffer overflow in AIX lquerylv program gives root access to local users.
CVE-1999-0065,['NVD-CWE-Other'],[''],[],Multiple buffer overflows in how dtmail handles attachments allows a remote attacker to execute commands.
CVE-1999-0066,['NVD-CWE-Other'],[''],[],AnyForm CGI remote execution.
CVE-1999-0067,['NVD-CWE-Other'],[''],[],phf CGI program allows remote command execution through shell metacharacters.
CVE-1999-0068,['NVD-CWE-Other'],[''],[],CGI PHP mylog script allows an attacker to read any file on the target server.
CVE-1999-0069,['NVD-CWE-Other'],[''],[],Solaris ufsrestore buffer overflow.
CVE-1999-0070,['NVD-CWE-noinfo'],[''],[],test-cgi program allows an attacker to list files on the server.
CVE-1999-0071,['NVD-CWE-Other'],[''],[],Apache httpd cookie buffer overflow for versions 1.1.1 and earlier.
CVE-1999-0072,['NVD-CWE-Other'],[''],[],Buffer overflow in AIX xdat gives root access to local users.
CVE-1999-0073,['NVD-CWE-Other'],[''],[],"Telnet allows a remote client to specify environment variables including LD_LIBRARY_PATH, allowing an attacker to bypass the normal system libraries and gain root access."
CVE-1999-0074,['NVD-CWE-Other'],[''],[],"Listening TCP ports are sequentially allocated, allowing spoofing attacks."
CVE-1999-0075,['NVD-CWE-Other'],[''],[],PASV core dump in wu-ftpd daemon when attacker uses a QUOTE PASV command after specifying a username and password.
CVE-1999-0076,['NVD-CWE-Other'],[''],[],Buffer overflow in wu-ftp from PASV command causes a core dump.
CVE-1999-0077,['NVD-CWE-Other'],[''],[],Predictable TCP sequence numbers allow spoofing.
CVE-1999-0078,['NVD-CWE-Other'],[''],[],"pcnfsd (aka rpc.pcnfsd) allows local users to change file permissions, or execute arbitrary commands through arguments in the RPC call."
CVE-1999-0079,['NVD-CWE-Other'],[''],[],"Remote attackers can cause a denial of service in FTP by issuing multiple PASV commands, causing the server to run out of available ports."
CVE-1999-0080,['NVD-CWE-Other'],[''],[],"Certain configurations of wu-ftp FTP server 2.4 use a _PATH_EXECPATH setting to a directory with dangerous commands, such as /bin, which allows remote authenticated users to gain root access via the ""site exec"" command."
CVE-1999-0081,['NVD-CWE-Other'],[''],[],wu-ftp allows files to be overwritten via the rnfr command.
CVE-1999-0082,['NVD-CWE-Other'],[''],[],CWD ~root command in ftpd allows root access.
CVE-1999-0083,['NVD-CWE-Other'],[''],[],getcwd() file descriptor leak in FTP.
CVE-1999-0084,['NVD-CWE-Other'],[''],[],Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.
CVE-1999-0085,['NVD-CWE-Other'],[''],[],Buffer overflow in rwhod on AIX and other operating systems allows remote attackers to execute arbitrary code via a UDP packet with a long hostname.
CVE-1999-0086,['NVD-CWE-Other'],[''],[],AIX routed allows remote users to modify sensitive files.
CVE-1999-0087,['NVD-CWE-Other'],[''],[],Denial of service in AIX telnet can freeze a system and prevent users from accessing the server.
CVE-1999-0088,['NVD-CWE-Other'],[''],[],IRIX and AIX automountd services (autofsd) allow remote users to execute root commands.
CVE-1999-0089,['NVD-CWE-Other'],[''],[],Buffer overflow in AIX libDtSvc library can allow local users to gain root access.
CVE-1999-0090,['NVD-CWE-Other'],[''],[],Buffer overflow in AIX rcp command allows local users to obtain root access.
CVE-1999-0091,['NVD-CWE-Other'],[''],[],Buffer overflow in AIX writesrv command allows local users to obtain root access.
CVE-1999-0092,['NVD-CWE-Other'],[''],[],Various vulnerabilities in the AIX portmir command allows local users to obtain root access.
CVE-1999-0093,['NVD-CWE-Other'],[''],[],AIX nslookup command allows local users to obtain root access by not dropping privileges correctly.
CVE-1999-0094,['NVD-CWE-Other'],[''],[],AIX piodmgrsu command allows local users to gain additional group privileges.
CVE-1999-0095,['NVD-CWE-Other'],[''],[],"The debug command in Sendmail is enabled, allowing attackers to execute commands as root."
CVE-1999-0096,['NVD-CWE-Other'],[''],[],Sendmail decode alias can be used to overwrite sensitive files.
CVE-1999-0097,['NVD-CWE-Other'],[''],[],The AIX FTP client can be forced to execute commands from a malicious server through shell metacharacters (e.g. a pipe character).
CVE-1999-0098,['NVD-CWE-Other'],[''],[],Buffer overflow in SMTP HELO command in Sendmail allows a remote attacker to hide activities.
CVE-1999-0099,['NVD-CWE-Other'],[''],[],Buffer overflow in syslog utility allows local or remote attackers to gain root privileges.
CVE-1999-0100,['NVD-CWE-Other'],[''],[],"Remote access in AIX innd 1.5.1, using control messages."
CVE-1999-0101,['NVD-CWE-Other'],[''],[],"Buffer overflow in AIX and Solaris ""gethostbyname"" library call allows root access through corrupt DNS host names."
CVE-1999-0102,['NVD-CWE-Other'],[''],[],Buffer overflow in SLmail 3.x allows attackers to execute commands using a large FROM line.
CVE-1999-0103,['NVD-CWE-Other'],[''],[],"Echo and chargen, or other combinations of UDP services, can be used in tandem to flood the server, a.k.a. UDP bomb or UDP packet storm."
CVE-1999-0104,['NVD-CWE-Other'],[''],[],"A later variation on the Teardrop IP denial of service attack, a.k.a. Teardrop-2."
CVE-1999-0105,['NVD-CWE-Other'],[''],[],finger allows recursive searches by using a long string of @ symbols.
CVE-1999-0106,['NVD-CWE-Other'],[''],[],Finger redirection allows finger bombs.
CVE-1999-0107,['NVD-CWE-Other'],[''],[],Buffer overflow in Apache 1.2.5 and earlier allows a remote attacker to cause a denial of service with a large number of GET requests containing a large number of / characters.
CVE-1999-0108,['NVD-CWE-Other'],[''],[],The printers program in IRIX has a buffer overflow that gives root access to local users.
CVE-1999-0109,['NVD-CWE-Other'],[''],[],Buffer overflow in ffbconfig in Solaris 2.5.1.
CVE-1999-0110,[],[],[],** REJECT **  DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-0315.  Reason: This candidate's original description had a typo that delayed it from being detected as a duplicate of CVE-1999-0315.  Notes: All CVE users should reference CVE-1999-0315 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage.
CVE-1999-0111,['NVD-CWE-Other'],[''],[],RIP v1 is susceptible to spoofing.
CVE-1999-0112,['NVD-CWE-Other'],[''],[],Buffer overflow in AIX dtterm program for the CDE.
CVE-1999-0113,['NVD-CWE-Other'],[''],[],Some implementations of rlogin allow root access if given a -froot parameter.
CVE-1999-0114,['NVD-CWE-Other'],[''],[],"Local users can execute commands as other users, and read other users' files, through the filter command in the Elm elm-2.4 mail package using a symlink attack."
CVE-1999-0115,['NVD-CWE-Other'],[''],[],AIX bugfiler program allows local users to gain root access.
CVE-1999-0116,['NVD-CWE-Other'],[''],[],"Denial of service when an attacker sends many SYN packets to create multiple connections without ever sending an ACK to complete the connection, aka SYN flood."
CVE-1999-0117,['NVD-CWE-Other'],[''],[],AIX passwd allows local users to gain root access.
CVE-1999-0118,['NVD-CWE-Other'],[''],[],AIX infod allows local users to gain root access through an X display.
CVE-1999-0119,['NVD-CWE-Other'],[''],[],Windows NT 4.0 beta allows users to read and delete shares.
CVE-1999-0120,['NVD-CWE-Other'],[''],[],Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.
CVE-1999-0121,['NVD-CWE-Other'],[''],[],Buffer overflow in dtaction command gives root access.
CVE-1999-0122,['NVD-CWE-Other'],[''],[],Buffer overflow in AIX lchangelv gives root access.
CVE-1999-0123,['NVD-CWE-Other'],[''],[],Race condition in Linux mailx command allows local users to read user files.
CVE-1999-0124,['NVD-CWE-Other'],[''],[],Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.
CVE-1999-0125,['NVD-CWE-Other'],[''],[],Buffer overflow in SGI IRIX mailx program.
CVE-1999-0126,['NVD-CWE-Other'],[''],[],SGI IRIX buffer overflow in xterm and Xaw allows root access.
CVE-1999-0127,['NVD-CWE-Other'],[''],[],swinstall and swmodify commands in SD-UX package in HP-UX systems allow local users to create or overwrite arbitrary files to gain root access.
CVE-1999-0128,['NVD-CWE-Other'],[''],[],"Oversized ICMP ping packets can result in a denial of service, aka Ping o' Death."
CVE-1999-0129,['NVD-CWE-Other'],[''],[],Sendmail allows local users to write to a file and gain group permissions via a .forward or :include: file.
CVE-1999-0130,['NVD-CWE-Other'],[''],[],Local users can start Sendmail in daemon mode and gain root privileges.
CVE-1999-0131,['NVD-CWE-Other'],[''],[],Buffer overflow and denial of service in Sendmail 8.7.5 and earlier through GECOS field gives root access to local users.
CVE-1999-0132,['NVD-CWE-Other'],[''],[],"Expreserve, as used in vi and ex, allows local users to overwrite arbitrary files and gain root access."
CVE-1999-0133,['NVD-CWE-Other'],[''],[],fm_fls license server for Adobe Framemaker allows local users to overwrite arbitrary files and gain root access.
CVE-1999-0134,['NVD-CWE-Other'],[''],[],vold in Solaris 2.x allows local users to gain root access.
CVE-1999-0135,['NVD-CWE-Other'],[''],[],admintool in Solaris allows a local user to write to arbitrary files and gain root access.
CVE-1999-0136,['NVD-CWE-Other'],[''],[],Kodak Color Management System (KCMS) on Solaris allows a local user to write to arbitrary files and gain root access.
CVE-1999-0137,['NVD-CWE-Other'],[''],[],The dip program on many Linux systems allows local users to gain root access via a buffer overflow.
CVE-1999-0138,['NVD-CWE-Other'],[''],[],"The suidperl and sperl program do not give up root privileges when changing UIDs back to the original users, allowing root access."
CVE-1999-0139,['NVD-CWE-Other'],[''],[],Buffer overflow in Solaris x86 mkcookie allows local users to obtain root access.
CVE-1999-0140,['NVD-CWE-Other'],[''],[],Denial of service in RAS/PPTP on NT systems.
CVE-1999-0141,['NVD-CWE-Other'],[''],[],Java Bytecode Verifier allows malicious applets to execute arbitrary commands as the user of the applet.
CVE-1999-0142,['NVD-CWE-Other'],[''],[],The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developer's Kit 1.0 allows an applet to connect to arbitrary hosts.
CVE-1999-0143,['NVD-CWE-Other'],[''],[],Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.
CVE-1999-0144,['NVD-CWE-noinfo'],[''],[],Denial of service in Qmail by specifying a large number of recipients with the RCPT command.
CVE-1999-0145,['NVD-CWE-Other'],[''],[],"Sendmail WIZ command enabled, allowing root access."
CVE-1999-0146,['NVD-CWE-Other'],[''],[],"The campas CGI program provided with some NCSA web servers allows an attacker to execute arbitrary commands via encoded carriage return characters in the query string, as demonstrated by reading the password file."
CVE-1999-0147,['NVD-CWE-Other'],[''],[],The aglimpse CGI program of the Glimpse package allows remote execution of arbitrary commands.
CVE-1999-0148,['NVD-CWE-Other'],[''],[],The handler CGI program in IRIX allows arbitrary command execution.
CVE-1999-0149,['NVD-CWE-Other'],[''],[],The wrap CGI program in IRIX allows remote attackers to view arbitrary directory listings via a .. (dot dot) attack.
CVE-1999-0150,['NVD-CWE-Other'],[''],[],The Perl fingerd program allows arbitrary command execution from remote users.
CVE-1999-0151,['NVD-CWE-Other'],[''],[],"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access."
CVE-1999-0152,['NVD-CWE-Other'],[''],[],The DG/UX finger daemon allows remote command execution through shell metacharacters.
CVE-1999-0153,['NVD-CWE-Other'],[''],[],"Windows 95/NT out of band (OOB) data denial of service through NETBIOS port, aka WinNuke."
CVE-1999-0154,['NVD-CWE-Other'],[''],[],IIS 2.0 and 3.0 allows remote attackers to read the source code for ASP pages by appending a . (dot) to the end of the URL.
CVE-1999-0155,['NVD-CWE-Other'],[''],[],The ghostscript command with the -dSAFER option allows remote attackers to execute commands.
CVE-1999-0156,['NVD-CWE-Other'],[''],[],wu-ftpd FTP daemon allows any user and password combination.
CVE-1999-0157,['NVD-CWE-Other'],[''],[],Cisco PIX firewall and CBAC IP fragmentation attack results in a denial of service.
CVE-1999-0158,['NVD-CWE-Other'],[''],[],Cisco PIX firewall manager (PFM) on Windows NT allows attackers to connect to port 8080 on the PFM server and retrieve any file whose name and location is known.
CVE-1999-0159,['NVD-CWE-Other'],[''],[],"Attackers can crash a Cisco IOS router or device, provided they can get to an interactive prompt (such as a login).  This applies to some IOS 9.x, 10.x, and 11.x releases."
CVE-1999-0160,['NVD-CWE-Other'],[''],[],Some classic Cisco IOS devices have a vulnerability in the PPP CHAP authentication to establish unauthorized PPP connections.
CVE-1999-0161,['NVD-CWE-Other'],[''],[],"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering."
CVE-1999-0162,['NVD-CWE-Other'],[''],[],"The ""established"" keyword in some Cisco IOS software allowed an attacker to bypass filtering."
CVE-1999-0163,['NVD-CWE-Other'],[''],[],"In older versions of Sendmail, an attacker could use a pipe character to execute root commands."
CVE-1999-0164,['NVD-CWE-Other'],[''],[],A race condition in the Solaris ps command allows an attacker to overwrite critical files.
CVE-1999-0165,['NVD-CWE-Other'],[''],[],NFS cache poisoning.
CVE-1999-0166,['NVD-CWE-Other'],[''],[],"NFS allows users to use a ""cd .."" command to access other directories besides the exported file system."
CVE-1999-0167,['NVD-CWE-Other'],[''],[],"In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system."
CVE-1999-0168,['NVD-CWE-Other'],[''],[],"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions."
CVE-1999-0169,['NVD-CWE-Other'],[''],[],NFS allows attackers to read and write any file on the system by specifying a false UID.
CVE-1999-0170,['NVD-CWE-Other'],[''],[],"Remote attackers can mount an NFS file system in Ultrix or OSF, even if it is denied on the access list."
CVE-1999-0171,['NVD-CWE-Other'],[''],[],Denial of service in syslog by sending it a large number of superfluous messages.
CVE-1999-0172,['NVD-CWE-Other'],[''],[],FormMail CGI program allows remote execution of commands.
CVE-1999-0173,['NVD-CWE-Other'],[''],[],FormMail CGI program can be used by web servers other than the host server that the program resides on.
CVE-1999-0174,['NVD-CWE-Other'],[''],[],The view-source CGI program allows remote attackers to read arbitrary files via a .. (dot dot) attack.
CVE-1999-0175,['NVD-CWE-Other'],[''],[],The convert.bas program in the Novell web server allows a remote attackers to read any file on the system that is internally accessible by the web server.
CVE-1999-0176,['NVD-CWE-Other'],[''],[],The Webgais program allows a remote user to execute arbitrary commands.
CVE-1999-0177,['NVD-CWE-Other'],[''],[],The uploader program in the WebSite web server allows a remote attacker to execute arbitrary programs.
CVE-1999-0178,['NVD-CWE-Other'],[''],[],Buffer overflow in the win-c-sample program (win-c-sample.exe) in the WebSite web server 1.1e allows remote attackers to execute arbitrary code via a long query string.
CVE-1999-0179,[],[],[],"Windows NT crashes or locks up when a Samba client executes a ""cd .."" command on a file share."
CVE-1999-0180,['NVD-CWE-Other'],[''],[],in.rshd allows users to login with a NULL username and execute commands.
CVE-1999-0181,['NVD-CWE-Other'],[''],[],"The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands."
CVE-1999-0182,['NVD-CWE-Other'],[''],[],Samba has a buffer overflow which allows a remote attacker to obtain root access by specifying a long password.
CVE-1999-0183,['NVD-CWE-Other'],[''],[],Linux implementations of TFTP would allow access to files outside the restricted directory.
CVE-1999-0184,['NVD-CWE-Other'],[''],[],"When compiled with the -DALLOW_UPDATES option, bind allows dynamic updates to the DNS server, allowing for malicious modification of DNS records."
CVE-1999-0185,['NVD-CWE-Other'],[''],[],"In SunOS or Solaris, a remote user could connect from an FTP server's data port to an rlogin server on a host that trusts the FTP server, allowing remote command execution."
CVE-1999-0186,['NVD-CWE-Other'],[''],[],"In Solaris, an SNMP subagent has a default community string that allows remote attackers to execute arbitrary commands as root, or modify system parameters."
CVE-1999-0187,[],[],[],** REJECT **  DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-0022.  Reason: This candidate is a duplicate of CVE-1999-0022.  Notes: All CVE users should reference CVE-1999-0022 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage.
CVE-1999-0188,['NVD-CWE-Other'],[''],[],The passwd command in Solaris can be subjected to a denial of service.
CVE-1999-0189,['NVD-CWE-Other'],[''],[],"Solaris rpcbind listens on a high numbered UDP port, which may not be filtered since the standard port number is 111."
CVE-1999-0190,['NVD-CWE-Other'],[''],[],Solaris rpcbind can be exploited to overwrite arbitrary files and gain root access.
CVE-1999-0191,['NVD-CWE-Other'],[''],[],IIS newdsn.exe CGI script allows remote users to overwrite files.
CVE-1999-0192,['NVD-CWE-Other'],[''],[],Buffer overflow in telnet daemon tgetent routing allows remote attackers to gain root access via the TERMCAP environmental variable.
CVE-1999-0193,['NVD-CWE-Other'],[''],[],"Denial of service in Ascend and 3com routers, which can be rebooted by sending a zero length TCP option."
CVE-1999-0194,['NVD-CWE-Other'],[''],[],Denial of service in in.comsat allows attackers to generate messages.
CVE-1999-0195,['NVD-CWE-Other'],[''],[],Denial of service in RPC portmapper allows attackers to register or unregister RPC services or spoof RPC services using a spoofed source IP address such as 127.0.0.1.
CVE-1999-0196,['NVD-CWE-Other'],[''],[],websendmail in Webgais 1.0 allows a remote user to access arbitrary files and execute arbitrary code via the receiver parameter ($VAR_receiver variable).
CVE-1999-0197,['NVD-CWE-Other'],[''],[],finger 0@host on some systems may print information on some user accounts.
CVE-1999-0198,['NVD-CWE-Other'],[''],[],finger .@host on some systems may print information on some user accounts.
CVE-1999-0199,['CWE-252'],['Unchecked Return Value'],[],"manual/search.texi in the GNU C Library (aka glibc) before 2.2 lacks a statement about the unspecified tdelete return value upon deletion of a tree's root, which might allow attackers to access a dangling pointer in an application whose developer was unaware of a documentation update from 1999."
CVE-1999-0200,['NVD-CWE-Other'],[''],[],Windows NT FTP server (WFTP) with the guest account enabled without a password allows an attacker to log into the FTP server using any username and password.
CVE-1999-0201,['NVD-CWE-Other'],[''],[],"A quote cwd command on FTP servers can reveal the full path of the home directory of the ""ftp"" user."
CVE-1999-0202,['NVD-CWE-Other'],[''],[],"The GNU tar command, when used in FTP sessions, may allow an attacker to execute arbitrary commands."
CVE-1999-0203,['NVD-CWE-Other'],[''],[],"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program."
CVE-1999-0204,['NVD-CWE-Other'],[''],[],"Sendmail 8.6.9 allows remote attackers to execute root commands, using ident."
